id;title;description;appointment_date;duration;status;created_date;last_modified_date
1;soon yogurt;Randevu detayları ve açıklamalar;2025-09-19T00:45:27;755;CANCELLED;2025-09-18T13:01:40;2025-09-19T09:19:19
2;abaft considering;Müşteri görüşmesi için randevu;2025-09-18T14:56:51;495;CONFIRMED;2025-09-18T17:24:31;2025-09-18T20:22:59
3;riser reschedule beyond;Proje toplantısı ve değerlendirme;2025-09-18T14:10:30;1388;PLANNED;2025-09-18T21:49:32;2025-09-19T10:53:32
4;inasmuch;Teknik destek randevusu;2025-09-18T15:13:09;584;CANCELLED;2025-09-18T13:09:46;2025-09-19T01:50:20
5;of jaunty hmph;Eğitim ve seminer organizasyonu;2025-09-19T01:07:00;959;CANCELLED;2025-09-19T01:07:44;2025-09-18T19:53:35
6;pish forgery dismal;İş görüşmesi ve mülakatlar;2025-09-18T12:17:08;951;CONFIRMED;2025-09-18T19:38:29;2025-09-19T05:44:01
7;as;Kısa süreli danışmanlık;2025-09-19T00:09:08;62;CONFIRMED;2025-09-18T23:42:27;2025-09-19T01:15:41
8;wherever;Proje teslim toplantısı;2025-09-18T12:08:42;745;COMPLETED;2025-09-18T15:59:48;2025-09-19T06:52:29
9;whoever knottily;Hızlı değerlendirme toplantısı;2025-09-18T22:45:05;170;CONFIRMED;2025-09-18T20:01:41;2025-09-18T21:22:03
10;attest awkwardly elderly;Uzun süreli strateji toplantısı;2025-09-19T08:00:43;1318;COMPLETED;2025-09-19T10:29:07;2025-09-19T10:13:05
