id;name;description;color;is_active
1;pfft;fledgling unlike jaywalk;"#4a50da";true
2;meh why;shirk bah;"#F14FEc";false
3;trek atop;obnoxiously forenenst righteously;"#a4aD5B";true
4;duffel declaration;supplier poorly;"#7bBfeC";false
5;fence when sway;thoughtfully;"#9c8Ca2";false
6;quintessential knowledgeably;empty;"#b9d3ea";true
7;vice;splosh fence mothball;"#E01DF6";true
8;cheerful;restructure beneath blaring;"#1eDEF4";false
9;sizzle;glass blissfully;"#46b0AD";true
10;thoroughly gum scarily;however;"#5f253e";false
