id;name;type;address;phone;email;description
1;fast whoa whoever;DOCTOR;dark even;233.824.9276;Juliana_Rowe@yahoo.com;duh astride sudden
2;meh since hm;RESTAURANT;if innocently;782.838.0238 x953;Claudine_Ortiz@yahoo.com;humble
3;ouch;HAIRDRESSER;unfurl foolish eek;699.496.7018 x864;Erna.Hudson@hotmail.com;stormy like
4;during young;GYM;underneath;471.338.7707 x3976;Krystina_Padberg1@yahoo.com;demob gee
5;sway;EVENT;even familiarize;721.812.6293 x2254;Sally22@gmail.com;oh
6;tough;OTHER;duh;1-934-675-5448;Herman_Halvorson@gmail.com;for muddy
7;heavily doing officially;CAFE;boiling;598-260-7184 x016;Immanuel.Sauer@gmail.com;tag puff
8;exotic at;GYM;unimpressively ew decision;1-214-958-6611 x19814;Walton_Stanton-McGlynn@gmail.com;huzzah whoever access
9;yuck contrast;EVENT;in;1-962-743-0089 x842;Kadin12@gmail.com;sans lost
10;true parched shinny;DOCTOR;equatorial;914-245-8192 x9779;Arden33@hotmail.com;whose however optimistically
