id;name;description;duration;price
1;palate deduct alert;toward hyphenation yuck;22416;1013.89
2;numeric anenst;know shakily;4678;22114.22
3;mid;jagged yowza within;23302;15840.16
4;helpful;timely questioningly;4269;7808.87
5;quietly zowie failing;outside;7017;18707.8
6;joshingly adult;restfully wallaby beyond;30003;14202.66
7;round monthly;furthermore gadzooks given;29112;21356.87
8;supplier superior reassemble;proselytise;5657;28117.24
9;unwilling astride;joyous tune-up;21581;30191.25
10;round pleasing phooey;carp gee phew;4354;181.06
